,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
409273,J-P-Morgan,2011-02-21, ,Current Employee,"Rochester, NY",2,4.0,,,2.0,3.0,1.0,o,v,o,Poorly made decisions by people unqualified to be in management,"The pay is good.  A common joke around the office is that we are in prison and that bail is too expensive to get out.  People stay with Chase not because they can't find better jobs, but they can't find the same pay.","Management is very poor.  It is like watching little kids dressing up in their mommy and daddy's clothing.  People are promoted based on who they drink with, not based on performance and merit.  The arrogance of management is astounding as well, as certain managers are 100% convinced that their decisions are always correct, and though they ""encourage"" feedback and discussion, really only want people to agree with them.  Anyone who objects ends up being labeled as ""difficult"" and is blackballed."
260845,EY,2021-01-05, Accountant,Current Employee,Lagos,4,2.0,4.0,4.0,4.0,4.0,4.0,v,o,v,Professional Accounting Services Firm,A great place to work.,Work schedule can be very tight.
819494,Vodafone,2021-04-03, Customer Service,"Current Employee, more than 1 year",Cairo,5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,r,Good place,helpful atmosphere/ joyful/professional/kind/ nice place.,stressful/long periods of time working
232378,EBRD,2020-10-31, Analyst/In,"Former Employee, more than 3 years","London, England, England",4,3.0,5.0,4.0,2.0,4.0,1.0,v,o,o,"Great mission, interesting work - outdated hierarchies and work mode","Interesting topics to work on, great atmosphere among colleagues","Very hierarchical and self-centered institution, lot of talking and process create more work and stress than actual work"
797004,University-of-Bristol,2020-12-01, Teaching Assistant,"Current Employee, less than 1 year","Bristol, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Fantastic Environment,"Friendly staff, nice pay, well supported",Sometimes there are no downfalls
834396,mydentist-UK,2021-01-11, Dental Nurse,"Former Employee, more than 3 years","Oldham, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,o,x,Horrible Place To Work,cpd and gdc paid for,"favouritism of staff: putting true hard workers at absolute zero level of progression due to unfair ostracization, bossy domineering receptionists who get away with speaking rudely to patients and members of staff, lazy staff who don't follow protocol, no progression"
56455,B-and-Q,2017-08-13, Part,"Former Employee, more than 1 year","London, England, England",1,1.0,1.0,,1.0,1.0,5.0,v,v,x,Not good,The uniform swag was on point I mean the orange contrasted with the blue made my collar pop and it was fairly comfortable for such a cheap material,Essentially management is extremely cruel to their workers and do nothing to benefit the stores  themselves. The superiority complex a large number of managers possess is laughable to say the least
724603,SAP,2020-03-13, Principal Software Engineer,"Current Employee, more than 8 years",,5,5.0,5.0,,3.0,4.0,4.0,v,r,v,Excellent Opportunity,"Easy environment , work life balance",Tough to grow upward.
192423,Deloitte,2018-07-18, Manager,"Former Employee, more than 3 years",Johannesburg,5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Manager,"Flexibility of work
People are great
Learning and training material is good","Not enough parking
Transformation is behind"
397417,IBM,2021-03-04, Customer Support Representative,Former Employee,Amsterdam,3,3.0,,3.0,3.0,3.0,3.0,x,r,v,"Good, but not best",Was good and great it's over 😊,What else can I say?
660226,Pizza-Hut,2020-02-17, Assistant Manager,Current Employee,"Coaldale, AB",3,4.0,3.0,,1.0,1.0,2.0,x,r,r,Pizza Hut 3+ years,"-Very relaxed environment 
-Free meals while working
-Fun environment if you don’t take the cons seriously","-Management  is very relaxed; therefore, they may not care if you need to take a day off at short notice, vice versa you will find yourself working short handed other days. I have had occasions of working alone doing FOH, cooking, delivery, ect. singlehanded.
- have had problems escalate to fighting between staff, management won’t intervene 
- have had multi instances of incorrect and late pay checks"
108982,Booking-com,2020-08-08, Software Developer,"Current Employee, more than 3 years",Amsterdam,4,3.0,1.0,,2.0,4.0,2.0,x,x,x,Review,"Salary, people, scale, interesting projects, knowledgeable colleagues","Career outlook, difficult to change roles, almost impossible to be promoted"
391201,IBM,2020-10-27, Applications Developer,Current Employee,Hyderābād,4,4.0,5.0,5.0,4.0,4.0,4.0,v,v,v,Good Company,Work environment is too good.,Please don't expect more hike
413088,J-P-Morgan,2015-01-26, ,Current Employee,,3,2.0,1.0,,3.0,5.0,2.0,x,r,r,Eh I wouldn't do it twice.,"The benefits are great, as well as most of the people. Chase management rewards based on performance, so any type of slacking influences your pay.","Be ready to work like a slave for 50+ hours a week. Its worth it in the end, but if you can't take that kind of heat, I suggest you look elsewhere."
538358,McDonald-s,2020-10-14, Chef,"Former Employee, less than 1 year","Glasgow, Scotland, Scotland",4,2.0,3.0,2.0,4.0,2.0,3.0,o,o,o,Food is nice,The food is great and free,The money is poor to start
619661,Oracle,2014-02-19, Business Analyst,"Former Employee, more than 5 years",Bangalore,4,4.0,4.0,,5.0,3.0,3.0,v,r,r,Good but not so good..,"working with a variety of people is a bonus.  You can learn a lot if interested in pursuing technology.  Inter-departmental and inter-divisional opportunities are great.  There are process driven levels which can help network across continents if you are a sociable person and have good grasp of language. You can stick to the company for years together if you dont want change. because the company's name is big, getting travel visas is very easy (LOL)","stagnancy is a major concern unless monotonous work schedule is your career. if you get stuck with a weak manager, appreciation/recognition is next to none. internal politics play a major role in career progress and you cannot change divisions if your manager wants you to get stuck or just leave. hikes, promotion and bonus are highly dependant on how much you like to kiss ass!!"
24048,Anglo-American,2021-02-22, Safety Superintendent,"Current Employee, more than 8 years","Witbank, Mpumalanga, Mpumalanga",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Assurance and Document Management Specialist,Anglo is always taking good care of its employees,The Covid- 19 pandemic which affected its productivity and profits
602988,NHS,2017-01-03, AHP,"Current Employee, more than 10 years",,4,3.0,4.0,,2.0,3.0,3.0,v,o,r,Looking for other opportunities,"Supportive team
Varied and interesting case load",Limited opportunities for development and career progression
291983,Google,2017-08-17, International Sales,"Current Employee, more than 3 years","Dublin, Dublin",4,3.0,4.0,,3.0,3.0,3.0,v,v,r,Company us great although the culture has changed....micro management is problematic.,"Innovative,  international opportunities , Google leads the way.  Multicultural environment, several perks. 
Google is a place where you can build a career.","Process heavy , patronizing, the company is big and people management sometimes is lacking , especially when it comes to personal development."
312306,HSBC-Holdings,2016-03-19, ,Current Employee,,4,3.0,4.0,,4.0,4.0,3.0,o,v,v,OPERATIONAL,Health insurance and bonus pay,High workload and high pressure
85606,Barclays,2013-08-10, Head of Function,"Former Employee, more than 3 years",Port Louis,3,5.0,4.0,,2.0,4.0,3.0,v,r,x,Head Of Consumer Products,"Work Life Balance, Open culture, Friendly people",Poor Talent Management and lack of contingency plans
516295,McDonald-s,2016-11-16, Shift Manager,"Former Employee, more than 5 years","New Whiteland, IN",1,,,,,,,x,x,r,Shift Manager,Free food and drinks and desserts,"Manager is very rude, there is alot of sexual harassment, arguments, don't work well together, forced to work hours that you cant, biased on pay."
89204,Barclays,2018-03-10, Anonymous Employee,Current Employee,,5,4.0,3.0,,4.0,4.0,3.0,v,o,r,AVP,good environment with nice ppl,economy is getting unstable...traditional banking industry is getting disrupted
365028,IBM,2016-12-04, ,Former Employee,,2,4.0,4.0,,2.0,2.0,1.0,o,o,o,hardworking people better avoid,"Flexible work hours
No work pressure
Job switch opportunity","not a place for hardworking people
salary hike are in peanuts"
711910,Royal-Mail,2017-05-10, Postman,"Current Employee, more than 3 years","Royal Tunbridge Wells, England, England",3,5.0,3.0,,1.0,4.0,2.0,v,x,x,"Great job, Terrible management","There is not a job that can beat it in the summer, walking around listening to music whilst getting great exercise and getting the job done enabling you to finish early.",Poor management. Poor training. Company as a whole cutting hours which means you cannot survive on part - time. No opportunity to get full time unless you stay there 20 years. Anyone can become manager with no training.
558824,Mercer,2012-07-30, Quality Analyst,"Current Employee, more than 1 year","Gurgaon, Haryana, Haryana",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Great,Opportunity in profession level and career level.,"Great place to work, Great infrastructural , good envelopment place."
440290,JLL,2020-10-07, Senior Director,"Current Employee, more than 10 years","London, England, England",3,5.0,5.0,5.0,3.0,3.0,3.0,x,r,r,Good culture,"Good ethics, flexible work life balance and inclusive",Agency teams are greedy and only look for money rather than long term client growth
405996,Indeed,2021-01-29, Account Executive,"Current Employee, more than 3 years","Toronto, ON",4,5.0,5.0,5.0,2.0,4.0,4.0,v,o,v,Great Place,Extremely fun and accepting culture,Not a tremendous amount of growth opportunities
356056,IBM,2015-07-09, ,Former Employee,,4,,,,,,,o,o,o,Good place,Good place to work & have lots of  opportunity,Nothing except they should keep working on appraisal plan
